ClientIP,URL,TimeStamp,IsUrlBlocked
127.0.0.1,http://gtu.ac.in/SliderImages/slider-8.jpg,2023-10-27 23:12:59.333348,False
127.0.0.1,http://gtu.ac.in/assets/img/engineer.png,2023-10-27 23:13:00.074420,False
127.0.0.1,http://gtu.ac.in/assets/img/pharmacy.png,2023-10-27 23:13:00.074420,False
127.0.0.1,http://gtu.ac.in/assets/img/diploma.png,2023-10-27 23:13:00.069436,False
127.0.0.1,http://gtu.ac.in/assets/img/master-engineer.png,2023-10-27 23:13:00.092450,False
127.0.0.1,http://gtu.ac.in/assets/img/admin.png,2023-10-27 23:13:00.095451,False
127.0.0.1,http://gtu.ac.in/assets/img/computer.png,2023-10-27 23:13:00.160006,False
127.0.0.1,http://gtu.ac.in/assets/img/CompApp1.png,2023-10-27 23:13:00.178719,False
127.0.0.1,http://gtu.ac.in/assets/img/BACHELOR-OF-ARCHITECTURE1.png,2023-10-27 23:13:00.194688,False
127.0.0.1,http://gtu.ac.in/assets/img/M.Arch.png,2023-10-27 23:13:00.195691,False
127.0.0.1,http://gtu.ac.in/assets/img/HotelManage1.png,2023-10-27 23:13:00.209097,False
127.0.0.1,http://gtu.ac.in/assets/img/B.pharmacy1.png,2023-10-27 23:13:00.248465,False
127.0.0.1,http://gtu.ac.in/assets/img/m.pharmacy1.png,2023-10-27 23:13:00.267542,False
127.0.0.1,http://gtu.ac.in/assets/img/Dpharma1.png,2023-10-27 23:13:00.292567,False
127.0.0.1,http://gtu.ac.in/assets/img/B.planning1.png,2023-10-27 23:13:00.296556,False
127.0.0.1,http://gtu.ac.in/assets/img/B.vocation1.png,2023-10-27 23:13:00.318192,False
127.0.0.1,http://gtu.ac.in/assets/img/vocation1.png,2023-10-27 23:13:00.336137,False
127.0.0.1,http://gtu.ac.in/assets/img/BusinessAdmin1.png,2023-10-27 23:13:00.365206,False
127.0.0.1,http://gtu.ac.in/assets/img/PGDip1.png,2023-10-27 23:13:00.384705,False
127.0.0.1,http://gtu.ac.in/assets/img/adminpart1.png,2023-10-27 23:13:00.382380,False
127.0.0.1,http://gtu.ac.in/assets/img/education.png,2023-10-27 23:13:00.495691,False
127.0.0.1,http://gtu.ac.in/assets/img/cta-img-2.jpg,2023-10-27 23:13:00.534588,False
127.0.0.1,http://gtu.ac.in/images/CM%20Message.jpg,2023-10-27 23:13:00.533589,False
127.0.0.1,http://gtu.ac.in/images/cross.jpg,2023-10-27 23:13:00.532591,False
127.0.0.1,http://gtu.ac.in/assets/img/favicon.ico,2023-10-27 23:13:01.189355,False
127.0.0.1,go-updater.brave.com:443,2023-10-27 23:13:15.694898,False
127.0.0.1,http://adit.ac.in/,2023-10-27 23:13:41.384549,False
127.0.0.1,http://adit.ac.in/assets/css/swiper.min.css,2023-10-27 23:13:41.815347,False
127.0.0.1,http://adit.ac.in/assets/css/section.css,2023-10-27 23:13:41.816344,False
